latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
-12.42,-55.07,318.1,1.3,1.1,2015-02-25, 17:10,A,60,5.0       ,301.2,19.5
-12.891,-58.743,314.1,2.4,1.5,2015-02-25, 17:10,A,36,5.0       ,295.7,40.2
-12.424,-55.021,319.1,1.3,1.1,2015-02-25, 17:10,A,70,5.0       ,301.4,23.3
-13.064,-59.971,310.8,3,1.7,2015-02-25, 17:10,A,27,5.0       ,292.2,56.4
-12.432,-54.926,319.6,1.3,1.1,2015-02-25, 17:10,A,18,5.0       ,300.4,16
-12.68,-56.646,315,1.7,1.3,2015-02-25, 17:10,A,25,5.0       ,297.9,19.9
-12.512,-55.147,316.8,1.3,1.1,2015-02-25, 17:10,A,32,5.0       ,300.3,15.3
-12.583,-55.071,322.1,1.3,1.1,2015-02-25, 17:10,A,30,5.0       ,304.2,21.5
-12.917,-57.348,321.3,1.9,1.3,2015-02-25, 17:10,A,67,5.0       ,299.5,39.3
-13.245,-57.685,316.1,2,1.4,2015-02-25, 17:10,A,39,5.0       ,297.4,32.6
-13.549,-58.464,315.4,2.3,1.5,2015-02-25, 17:10,A,22,5.0       ,296.4,38.4
-13.393,-57.163,317,1.9,1.3,2015-02-25, 17:10,A,58,5.0       ,298.5,32
-13.383,-57.079,317.3,1.8,1.3,2015-02-25, 17:10,A,35,5.0       ,299.3,30.6
-13.405,-57.161,315.4,1.9,1.3,2015-02-25, 17:10,A,50,5.0       ,297.3,26.2
-13.24,-55.108,319,1.3,1.1,2015-02-25, 17:10,A,23,5.0       ,302,21.4
-13.68,-57.072,317.6,1.8,1.3,2015-02-25, 17:10,A,37,5.0       ,299.1,34.1
-13.163,-53.015,318.4,1,1,2015-02-25, 17:10,A,50,5.0       ,300,14.9
-13.172,-53.014,318.5,1,1,2015-02-25, 17:10,A,47,5.0       ,300.4,15.3
-13.247,-53.351,319.7,1.1,1,2015-02-25, 17:10,A,39,5.0       ,299.5,15.8
-13.572,-55.232,315.4,1.4,1.2,2015-02-25, 17:10,A,46,5.0       ,298.6,17.2
-13.381,-53.543,318.8,1.1,1,2015-02-25, 17:10,A,58,5.0       ,300.6,16.8
-13.221,-52.246,319.1,1,1,2015-02-25, 17:10,A,29,5.0       ,297.9,13.8
