latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
9.823,-68.161,321.5,1.1,1.1,2015-05-06, 15:15,T,59,5.0       ,304.3,8.8
9.992,-69.211,326.2,1,1,2015-05-06, 15:15,T,51,5.0       ,303.9,12.9
9.994,-69.22,326,1,1,2015-05-06, 15:15,T,29,5.0       ,303.8,13.7
9.406,-65.314,325,1.7,1.3,2015-05-06, 15:15,T,67,5.0       ,304.3,17.6
9.52,-66.029,328.4,1.5,1.2,2015-05-06, 15:15,T,71,5.0       ,305.3,25.9
10.407,-71.92,327.4,1.1,1,2015-05-06, 15:15,T,60,5.0       ,302.7,10.7
10.417,-71.918,331,1.1,1,2015-05-06, 15:15,T,84,5.0       ,302.4,17.4
9.689,-66.141,331.5,1.5,1.2,2015-05-06, 15:15,T,84,5.0       ,307.6,28.2
9.713,-66.083,328.6,1.5,1.2,2015-05-06, 15:15,T,77,5.0       ,306.5,18.9
9.465,-64.381,321.4,2,1.4,2015-05-06, 15:15,T,72,5.0       ,299,31.6
9.468,-64.399,323,2,1.4,2015-05-06, 15:15,T,70,5.0       ,297.2,34.2
9.591,-65.187,325.9,1.7,1.3,2015-05-06, 15:15,T,65,5.0       ,303.9,23.5
9.471,-64.393,331.4,2,1.4,2015-05-06, 15:15,T,84,5.0       ,299.8,68.4
9.614,-65.04,330.2,1.8,1.3,2015-05-06, 15:15,T,83,5.0       ,302.8,43.1
9.617,-65.055,325.2,1.8,1.3,2015-05-06, 15:15,T,70,5.0       ,303.2,25.8
11.083,-74.824,315.6,1.7,1.3,2015-05-06, 15:15,T,48,5.0       ,299.5,21.3
10.28,-69.103,319.6,1,1,2015-05-06, 15:15,T,67,5.0       ,301.3,11.1
10.047,-67.505,328.5,1.2,1.1,2015-05-06, 15:15,T,47,5.0       ,308.2,16.1
10.092,-67.393,323,1.2,1.1,2015-05-06, 15:15,T,54,5.0       ,306.1,10
10.311,-68.756,332,1,1,2015-05-06, 15:15,T,82,5.0       ,307.3,16.6
10.01,-66.733,317.9,1.3,1.1,2015-05-06, 15:15,T,52,5.0       ,296.3,15.1
10.245,-68.035,331,1.1,1.1,2015-05-06, 15:15,T,51,5.0       ,303.9,26.5
10.252,-68.013,325.5,1.1,1.1,2015-05-06, 15:15,T,45,5.0       ,304.6,10.6
10.275,-68.164,327.7,1.1,1,2015-05-06, 15:15,T,51,5.0       ,304.1,24.6
9.895,-65.701,323.1,1.6,1.2,2015-05-06, 15:15,T,61,5.0       ,305.5,19.5
9.62,-63.717,343.6,2.2,1.4,2015-05-06, 15:15,T,92,5.0       ,300.7,150.6
9.624,-63.737,327.4,2.2,1.4,2015-05-06, 15:15,T,68,5.0       ,296.3,63.2
9.627,-63.674,320.8,2.3,1.5,2015-05-06, 15:15,T,51,5.0       ,294.8,42.6
9.63,-63.695,331.5,2.2,1.5,2015-05-06, 15:15,T,79,5.0       ,297.3,89.7
9.633,-63.715,322.7,2.2,1.4,2015-05-06, 15:15,T,43,5.0       ,299.9,48.5
10.018,-66.125,317.6,1.5,1.2,2015-05-06, 15:15,T,68,5.0       ,298.3,20.8
10.72,-70.704,330.6,1,1,2015-05-06, 15:15,T,79,5.0       ,304.8,19.7
9.618,-63.71,333.3,2.2,1.4,2015-05-06, 15:15,T,76,5.0       ,299,90.8
9.622,-63.73,342.8,2.2,1.4,2015-05-06, 15:15,T,91,5.0       ,298.1,142.9
10.021,-66.118,318.3,1.5,1.2,2015-05-06, 15:15,T,66,5.0       ,298.9,21.1
9.628,-63.688,333.5,2.2,1.5,2015-05-06, 15:15,T,85,5.0       ,295.9,98.9
9.646,-63.559,330.3,2.3,1.5,2015-05-06, 15:15,T,83,5.0       ,297.5,88.5
9.656,-63.621,338.3,2.3,1.5,2015-05-06, 15:15,T,89,5.0       ,298.5,127.4
9.941,-64.984,328,1.8,1.3,2015-05-06, 15:15,T,81,5.0       ,304,34.6
10.838,-70.815,333.6,1,1,2015-05-06, 15:15,T,86,5.0       ,305.1,19.4
9.937,-64.979,333.1,1.8,1.3,2015-05-06, 15:15,T,85,5.0       ,304.5,52.4
10.64,-69.408,342.3,1,1,2015-05-06, 15:15,T,91,5.0       ,301.3,45.7
10.641,-69.417,338,1,1,2015-05-06, 15:15,T,89,5.0       ,300.1,36.8
10.001,-65.221,320.1,1.7,1.3,2015-05-06, 15:15,T,69,5.0       ,302.5,17.9
10.48,-68.239,325.3,1.1,1,2015-05-06, 15:15,T,75,5.0       ,303.2,17.4
10.179,-65.748,320.2,1.5,1.2,2015-05-06, 15:15,T,68,5.0       ,300.7,20.2
10.749,-68.726,345.7,1,1,2015-05-06, 15:15,T,93,5.0       ,301.1,55.1
10.498,-67.041,321,1.2,1.1,2015-05-06, 15:15,T,37,5.0       ,300.9,17.7
10.5,-67.052,369.8,1.2,1.1,2015-05-06, 15:15,T,100,5.0       ,305.3,161
10.502,-67.063,320.8,1.2,1.1,2015-05-06, 15:15,T,38,5.0       ,300.1,17.6
10.51,-67.05,324.6,1.2,1.1,2015-05-06, 15:15,T,63,5.0       ,303.1,24.2
10.052,-64.029,329.3,2.1,1.4,2015-05-06, 15:15,T,82,5.0       ,300,79.3
10.425,-66.373,318.1,1.4,1.2,2015-05-06, 15:15,T,69,5.0       ,297.9,23.1
10.961,-69.582,327.2,1,1,2015-05-06, 15:15,T,76,5.0       ,305.8,14.7
10.101,-63.999,326.5,2.1,1.4,2015-05-06, 15:15,T,59,5.0       ,298.7,71.6
10.073,-63.592,316.6,2.2,1.5,2015-05-06, 15:15,T,33,5.0       ,298.6,28.3
10.082,-63.57,317.2,2.3,1.5,2015-05-06, 15:15,T,45,5.0       ,298.7,28.9
10.086,-63.59,328.4,2.2,1.5,2015-05-06, 15:15,T,81,5.0       ,299.8,75.1
10.084,-63.585,335.1,2.2,1.5,2015-05-06, 15:15,T,87,5.0       ,300,111.1
10.539,-66.134,314.2,1.4,1.2,2015-05-06, 15:15,T,55,5.0       ,299.8,12.9
10.216,-63.587,311.8,2.2,1.4,2015-05-06, 15:15,T,49,5.0       ,296.7,32.3
